50 12500
58 1937 50
63 770 165
78 985 129
98 320 37
68 555 188
71 1858 172
90 751 141
80 1418 11
61 1517 161
79 837 149
82 998 10
56 501 147
76 649 130
98 986 89
75 519 189
87 276 58
60 2369 130
65 2058 54
59 678 68
69 2179 25
87 1059 192
71 2281 178
98 1505 66
99 857 62
67 798 106
51 1188 131
51 1739 46
80 1408 45
67 2294 178
91 408 91
69 967 91
77 275 71
59 1371 72
85 2475 190
85 142 182
82 209 112
66 366 93
64 137 73
85 1236 10
92 2404 39
53 852 76
63 1918 19
86 1707 49
70 943 149
53 1131 182
59 2158 121
82 48 24
95 851 48
52 513 86
68 2417 33
